Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(128, 64, 32, 16, 8)",adam,0.001,8,83.8,36.7,39.1,0.639,37.9
"(128, 64, 32, 16, 8)",adam,0.001,16,83.6,38.8,38.8,0.646,38.8
"(128, 64, 32, 16, 8)",adam,0.001,32,82.2,30.6,32.6,0.604,31.6
"(128, 64, 32, 16, 8)",adam,0.0001,8,86.3,40.8,48.8,0.671,44.4
"(128, 64, 32, 16, 8)",adam,0.0001,16,84.1,44.9,41.5,0.675,43.1
"(128, 64, 32, 16, 8)",adam,0.0001,32,84.7,40.8,42.6,0.661,41.7
"(64, 32, 16, 8, 4)",sgd,0.001,8,78.9,36.7,28.1,0.611,31.9
"(64, 32, 16, 8, 4)",sgd,0.001,16,79.7,34.7,28.8,0.607,31.5
"(64, 32, 16, 8, 4)",sgd,0.001,32,85.2,36.7,43.9,0.647,40.0
"(64, 32, 16, 8, 4)",sgd,0.0001,8,80.0,61.2,35.7,0.721,45.1
"(64, 32, 16, 8, 4)",sgd,0.0001,16,82.2,53.1,38.2,0.699,44.4
"(64, 32, 16, 8, 4)",sgd,0.0001,32,81.4,28.6,29.8,0.591,29.2
"(64, 32, 16, 8, 4)",adam,0.001,8,84.1,53.1,42.6,0.71,47.3
"(64, 32, 16, 8, 4)",adam,0.001,16,86.3,38.8,48.7,0.662,43.2
"(64, 32, 16, 8, 4)",adam,0.001,32,83.6,30.6,36.6,0.612,33.3
"(64, 32, 16, 8, 4)",adam,0.0001,8,84.9,40.8,43.5,0.663,42.1
"(64, 32, 16, 8, 4)",adam,0.0001,16,83.8,42.9,40.4,0.665,41.6
"(64, 32, 16, 8, 4)",adam,0.0001,32,81.6,38.8,33.9,0.635,36.2
"(32, 16, 8, 4, 2)",sgd,0.001,8,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",sgd,0.001,16,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",sgd,0.001,32,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",sgd,0.0001,8,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",sgd,0.0001,16,86.0,0.0,0.0,0.497,0.0
"(32, 16, 8, 4, 2)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",adam,0.001,8,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",adam,0.001,16,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",adam,0.001,32,86.6,0.0,0.0,0.5,0.0
"(32, 16, 8, 4, 2)",adam,0.0001,8,86.3,34.7,48.6,0.645,40.5
"(32, 16, 8, 4, 2)",adam,0.0001,16,82.7,34.7,35.4,0.624,35.1
"(32, 16, 8, 4, 2)",adam,0.0001,32,83.6,38.8,38.8,0.646,38.8
"(128, 64, 32, 16, 8, 4)",sgd,0.001,8,80.0,36.7,30.0,0.617,33.0
"(128, 64, 32, 16, 8, 4)",sgd,0.001,16,83.8,42.9,40.4,0.665,41.6
"(128, 64, 32, 16, 8, 4)",sgd,0.001,32,84.1,46.9,41.8,0.684,44.2
"(128, 64, 32, 16, 8, 4)",sgd,0.0001,8,80.5,55.1,35.5,0.698,43.2
"(128, 64, 32, 16, 8, 4)",sgd,0.0001,16,80.0,59.2,35.4,0.712,44.3
"(128, 64, 32, 16, 8, 4)",sgd,0.0001,32,86.3,0.0,0.0,0.498,0.0
"(128, 64, 32, 16, 8, 4)",adam,0.001,8,85.8,38.8,46.3,0.659,42.2
"(128, 64, 32, 16, 8, 4)",adam,0.001,16,85.2,38.8,44.2,0.656,41.3
"(128, 64, 32, 16, 8, 4)",adam,0.001,32,86.0,40.8,47.6,0.669,44.0
"(128, 64, 32, 16, 8, 4)",adam,0.0001,8,82.2,38.8,35.2,0.638,36.9
"(128, 64, 32, 16, 8, 4)",adam,0.0001,16,83.3,38.8,38.0,0.645,38.4
"(128, 64, 32, 16, 8, 4)",adam,0.0001,32,81.1,30.6,30.0,0.598,30.3
"(64, 32, 16, 8, 4, 2)",sgd,0.001,8,84.4,32.7,40.0,0.625,36.0
